id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401121973,2019,13,regular,2019-11-23T19:30:00.000Z,Appalachian State,Sun Belt,35,Texas State,Sun Belt,13,"[{'provider': 'Bovada', 'spread': -29.0, 'formatted_spread': 'Appalachian State -29.0', 'spread_open': None, 'over_under': 50.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-29.0
401119309,2019,13,regular,2019-11-23T17:00:00.000Z,Kent State,Mid-American,41,Ball State,Mid-American,38,"[{'provider': 'Bovada', 'spread': 3.5, 'formatted_spread': 'Ball State -3.5', 'spread_open': None, 'over_under': 67.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",3.5
401121976,2019,13,regular,2019-11-23T19:00:00.000Z,Georgia State,Sun Belt,28,South Alabama,Sun Belt,15,"[{'provider': 'Bovada', 'spread': -9.0, 'formatted_spread': 'Georgia State -9.0', 'spread_open': None, 'over_under': 57.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-9.0
401114319,2019,13,regular,2019-11-23T21:00:00.000Z,New Mexico State,FBS Independents,44,UTEP,Conference USA,35,"[{'provider': 'Bovada', 'spread': -7.0, 'formatted_spread': 'New Mexico State -7.0', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-7.0
401121977,2019,13,regular,2019-11-23T22:00:00.000Z,Louisiana,Sun Belt,53,Troy,Sun Belt,3,"[{'provider': 'Bovada', 'spread': -12.5, 'formatted_spread': 'Louisiana -12.5', 'spread_open': None, 'over_under': 74.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-12.5
401114191,2019,13,regular,2019-11-24T03:00:00.000Z,Colorado,Pac-12,20,Washington,Pac-12,14,"[{'provider': 'Bovada', 'spread': 14.0, 'formatted_spread': 'Washington -14.0', 'spread_open': None, 'over_under': 53.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",14.0
401119310,2019,14,regular,2019-11-26T23:00:00.000Z,Akron,Mid-American,3,Ohio,Mid-American,52,"[{'provider': 'Bovada', 'spread': 28.0, 'formatted_spread': 'Ohio -28.0', 'spread_open': None, 'over_under': 53.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",28.0
401119311,2019,14,regular,2019-11-27T00:00:00.000Z,Northern Illinois,Mid-American,17,Western Michigan,Mid-American,14,"[{'provider': 'Bovada', 'spread': 9.0, 'formatted_spread': 'Western Michigan -9.0', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",9.0
401119312,2019,14,regular,2019-11-29T17:00:00.000Z,Buffalo,Mid-American,49,Bowling Green,Mid-American,7,"[{'provider': 'Bovada', 'spread': -28.0, 'formatted_spread': 'Buffalo -28.0', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-28.0
401119313,2019,14,regular,2019-11-29T17:00:00.000Z,Eastern Michigan,Mid-American,26,Kent State,Mid-American,34,"[{'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'Eastern Michigan -3.5', 'spread_open': None, 'over_under': 69.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.5
