id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
401693677,2024,1,Lincoln University (CA),College of Idaho,,,ii,,,,True,,College of Idaho
401635525,2024,1,Georgia Tech,Florida State,,,fbs,fbs,1497.0,1692.0,True,,Florida State
401654665,2024,1,Tarleton State,McNeese,,,fcs,fcs,,,False,,McNeese
401643697,2024,1,New Mexico,Montana State,,,fbs,fcs,1234.0,,False,,Montana State
401654662,2024,1,Southeast Missouri State,North Alabama,,,fcs,fcs,,,True,,North Alabama
401636372,2024,1,Norfolk State,Florida A&M,,,fcs,fcs,,,True,,Florida A&M
401643696,2024,1,Nevada,SMU,,,fbs,fbs,1222.0,1690.0,False,,SMU
401643858,2024,1,Hawai'i,Delaware State,,,fbs,fcs,1227.0,,False,,Delaware State
401675545,2024,1,Sul Ross State,West Texas A&M,,,ii,ii,,,False,,West Texas A&M
401628580,2024,1,Villanova,Youngstown State,,,fcs,fcs,,,False,,Youngstown State
401674318,2024,1,Northern Michigan,Minnesota-Duluth,,,ii,ii,,,False,,Minnesota-Duluth
401628458,2024,1,Rutgers,Howard,,,fbs,fcs,1460.0,,False,,Howard
401673370,2024,1,Carson-Newman,Reinhardt,,,ii,,,,False,,Reinhardt
401673041,2024,1,Morehead State,Central State,,,fcs,ii,,,False,,Central State
401628581,2024,1,Wake Forest,North Carolina A&T,,,fbs,fcs,1431.0,,False,,North Carolina A&T
401634299,2024,1,NC State,Western Carolina,,,fbs,fcs,1606.0,,False,,Western Carolina
401628579,2024,1,Delaware,Bryant,,,fcs,fcs,,,False,,Bryant
401628582,2024,1,UCF,New Hampshire,,,fbs,fcs,1578.0,,False,,New Hampshire
401628592,2024,1,William & Mary,VMI,,,fcs,fcs,,,False,,VMI
401636387,2024,1,Louisiana Monroe,Jackson State,,,fbs,fcs,1156.0,,False,,Jackson State
401674174,2024,1,Northeastern State,Missouri Western,,,ii,ii,,,False,,Missouri Western
401674184,2024,1,Northwest Missouri State,Minnesota State,,,ii,ii,,,False,,Minnesota State
401674221,2024,1,Minot State,Valley City State,,,ii,,,,False,,Valley City State
401674274,2024,1,Fairmont State,Seton Hill College,,,ii,ii,,,False,,Seton Hill College
401674295,2024,1,West Liberty,Walsh,,,ii,ii,,,False,,Walsh
401674305,2024,1,Wheeling Jesuit,Mercyhurst,,,ii,fcs,,,False,,Mercyhurst
401674307,2024,1,Bemidji State,Michigan Tech,,,ii,ii,,,False,,Michigan Tech
401674363,2024,1,Edinboro,East Stroudsburg,,,ii,ii,,,False,,East Stroudsburg
401674525,2024,1,Wayne State (NE),Missouri S&T,,,ii,ii,,,False,,Missouri S&T
401675476,2024,1,Mars Hill,Delta State,,,ii,ii,,,False,,Delta State
401675822,2024,1,University of Mary,Jamestown,,,ii,,,,False,,Jamestown
401676074,2024,1,Millersville,Clarion,,,ii,ii,,,False,,Clarion
401644730,2024,1,Central Michigan,Central Connecticut,,,fbs,fcs,1333.0,,False,,Central Connecticut
401644729,2024,1,Bowling Green,Fordham,,,fbs,fcs,1431.0,,False,,Fordham
401644727,2024,1,Buffalo,Lafayette,,,fbs,fcs,1357.0,,False,,Lafayette
401634152,2024,1,Gardner-Webb,Wofford,,,fcs,fcs,,,False,,Wofford
401634143,2024,1,Mercer,Presbyterian College,,,fcs,fcs,,,False,,Presbyterian College
401644728,2024,1,Toledo,Duquesne,,,fbs,fcs,1526.0,,False,,Duquesne
401655664,2024,1,Drake,Quincy,,,fcs,ii,,,False,,Quincy
401628320,2024,1,Arkansas,Arkansas-Pine Bluff,,,fbs,fcs,1454.0,,True,,Arkansas-Pine Bluff
401640998,2024,1,Jacksonville State,Coastal Carolina,,,fbs,fbs,1538.0,1448.0,False,,Coastal Carolina
401645318,2024,1,Tulsa,Northwestern State,,,fbs,fcs,1248.0,,False,,Northwestern State
401645317,2024,1,Tulane,Southeastern Louisiana,,,fbs,fcs,1565.0,,False,,Southeastern Louisiana
401628327,2024,1,Missouri,Murray State,,,fbs,fcs,1744.0,,False,,Murray State
401645316,2024,1,UAB,Alcorn State,,,fbs,fcs,1363.0,,False,,Alcorn State
401674150,2024,1,Emporia State,Washburn,,,ii,ii,,,False,,Washburn
401674159,2024,1,Fort Hays State,Angelo State,,,ii,ii,,,False,,Angelo State
401675538,2024,1,Midwestern State,Missouri Southern State,,,ii,ii,,,False,,Missouri Southern State
401634206,2024,1,Colorado,North Dakota State,,,fbs,fcs,1324.0,,False,,North Dakota State
401673257,2024,1,New Mexico Highlands,Eastern New Mexico,,,ii,ii,,,False,,Eastern New Mexico
401628448,2024,1,Minnesota,North Carolina,,,fbs,fbs,1492.0,1546.0,False,,North Carolina
401673282,2024,1,Chadron State,Nebraska-Kearney,,,ii,ii,,,False,,Nebraska-Kearney
401654562,2024,1,South Dakota,Northern State,,,fcs,ii,,,False,,Northern State
401655860,2024,1,St. Thomas (MN),Sioux Falls,,,fcs,ii,,,False,,Sioux Falls
401673254,2024,1,South Dakota Mines,Colorado State-Pueblo,,,ii,ii,,,False,,Colorado State-Pueblo
401673279,2024,1,Texas A&M-Kingsville,Colorado Mesa,,,ii,ii,,,False,,Colorado Mesa
401636606,2024,1,Kansas,Lindenwood,,,fbs,fcs,1619.0,,True,,Lindenwood
401675114,2024,1,Stephen F. Austin,North American University,,,fcs,,,,False,,North American University
401628583,2024,1,Eastern Washington,Monmouth,,,fcs,fcs,,,False,,Monmouth
401654845,2024,1,Illinois,Eastern Illinois,,,fbs,fcs,1502.0,,False,,Eastern Illinois
401636607,2024,1,Utah,Southern Utah,,,fbs,fcs,1622.0,,False,,Southern Utah
401643698,2024,1,San José State,Sacramento State,,,fbs,fcs,1544.0,,False,,Sacramento State
401645319,2024,1,Army,Lehigh,,,fbs,fcs,1425.0,,False,,Lehigh
401656600,2024,1,Maine,Colgate,,,fcs,fcs,,,False,,Colgate
401628453,2024,1,Michigan State,Florida Atlantic,,,fbs,fbs,1392.0,1422.0,False,,Florida Atlantic
401628328,2024,1,Oklahoma,Temple,,,fbs,fbs,1786.0,1178.0,False,,Temple
401628584,2024,1,Duke,Elon,,,fbs,fcs,1602.0,,False,,Elon
401628461,2024,1,Wisconsin,Western Michigan,,,fbs,fbs,1587.0,1315.0,False,,Western Michigan
401634300,2024,1,Stanford,TCU,,,fbs,fbs,1286.0,1587.0,False,,TCU
401643703,2024,1,Utah State,Robert Morris,,,fbs,fcs,1346.0,,False,,Robert Morris
401654646,2024,1,Dayton,St Francis (PA),,,fcs,fcs,,,False,,St Francis (PA)
401645322,2024,1,Navy,Bucknell,,,fbs,fcs,1368.0,,False,,Bucknell
401654657,2024,1,Wagner,Virginia Lynchburg,,,fcs,,,,False,,Virginia Lynchburg
401628333,2024,1,Vanderbilt,Virginia Tech,,,fbs,fbs,1284.0,1604.0,False,,Virginia Tech
401628323,2024,1,Georgia,Clemson,,,fbs,fbs,2015.0,1676.0,True,,Clemson
401634305,2024,1,Pittsburgh,Kent State,,,fbs,fbs,1436.0,1158.0,False,,Kent State
401628457,2024,1,West Virginia,Penn State,,,fbs,fbs,1574.0,1833.0,False,,Penn State
401634169,2024,1,Purdue,Indiana State,,,fbs,fcs,1492.0,,False,,Indiana State
401632062,2024,1,Louisville,Austin Peay,,,fbs,fcs,1625.0,,False,,Austin Peay
401628451,2024,1,Maryland,Connecticut,,,fbs,fbs,1630.0,1230.0,False,,Connecticut
401628450,2024,1,Iowa,Illinois State,,,fbs,fcs,1550.0,,False,,Illinois State
401654641,2024,1,Georgetown,Davidson,,,fcs,fcs,,,False,,Davidson
401628330,2024,1,Tennessee,Chattanooga,,,fbs,fcs,1751.0,,False,,Chattanooga
401655657,2024,1,Butler,Upper Iowa,,,fcs,ii,,,False,,Upper Iowa
401677383,2024,1,Bluefield,Winston-Salem,,,ii,ii,,,False,,Winston-Salem
401676691,2024,1,Shaw,Elizabeth City State,,,ii,ii,,,False,,Elizabeth City State
