id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
400795501,2015,1,Montana,North Dakota State,38.0,35.0,fcs,fcs,,,False,-3.0,Montana
400603840,2015,1,South Carolina,North Carolina,17.0,13.0,fbs,fbs,1646.0,1477.0,True,-4.0,South Carolina
400763593,2015,1,UCF,Florida International,14.0,15.0,fbs,fbs,1626.0,1321.0,False,1.0,Florida International
400795766,2015,1,Murray State,Kentucky Wesleyan,52.0,12.0,fcs,ii,,,False,-40.0,Murray State
400756896,2015,1,Wake Forest,Elon,41.0,3.0,fbs,fcs,,,False,-38.0,Wake Forest
400799035,2015,1,Samford,Central Arkansas,45.0,16.0,fcs,fcs,,,False,-29.0,Samford
400795587,2015,1,Charleston Southern,North Greenville,41.0,14.0,fcs,ii,,,False,-27.0,Charleston Southern
400799864,2015,1,Campbell,Pikeville,41.0,20.0,fcs,,,,False,-21.0,Campbell
400795765,2015,1,Eastern Kentucky,Valparaiso,52.0,10.0,fcs,fcs,,,False,-42.0,Eastern Kentucky
400795494,2015,1,Western Illinois,Eastern Illinois,33.0,5.0,fcs,fcs,,,False,-28.0,Western Illinois
400787299,2015,1,Ball State,VMI,48.0,36.0,fbs,fcs,,,False,-12.0,Ball State
400799924,2015,1,Northwestern State,Southeastern Louisiana,20.0,34.0,fcs,fcs,,,False,14.0,Southeastern Louisiana
400763399,2015,1,Central Michigan,Oklahoma State,13.0,24.0,fbs,fbs,1417.0,1567.0,False,11.0,Oklahoma State
400756895,2015,1,Georgia Tech,Alcorn State,69.0,6.0,fbs,fcs,,,False,-63.0,Georgia Tech
400795577,2015,1,East Tennessee State,Kennesaw State,16.0,56.0,fcs,fcs,,,True,40.0,Kennesaw State
400764854,2015,1,Connecticut,Villanova,20.0,15.0,fbs,fcs,,,False,-5.0,Connecticut
400603839,2015,1,Vanderbilt,Western Kentucky,12.0,14.0,fbs,fbs,1365.0,1521.0,False,2.0,Western Kentucky
400756883,2015,1,Utah,Michigan,24.0,17.0,fbs,fbs,1603.0,1553.0,False,-7.0,Utah
400787302,2015,1,Idaho,Ohio,28.0,45.0,fbs,fbs,1167.0,1321.0,False,17.0,Ohio
400763398,2015,1,Minnesota,TCU,17.0,23.0,fbs,fbs,1633.0,1963.0,False,6.0,TCU
400787110,2015,1,Utah State,Southern Utah,12.0,9.0,fbs,fcs,,,False,-3.0,Utah State
400795502,2015,1,Montana State,Fort Lewis,45.0,14.0,fcs,ii,,,False,-31.0,Montana State
400756894,2015,1,Tulane,Duke,7.0,37.0,fbs,fbs,1311.0,1572.0,False,30.0,Duke
400787108,2015,1,Nevada,UC Davis,31.0,17.0,fbs,fcs,,,False,-14.0,Nevada
400787109,2015,1,San José State,New Hampshire,43.0,13.0,fbs,fcs,,,False,-30.0,San José State
400756882,2015,1,Arizona,UT San Antonio,42.0,32.0,fbs,fbs,1649.0,1294.0,False,-10.0,Arizona
400799923,2015,1,Fresno State,Abilene Christian,34.0,13.0,fbs,fcs,,,False,-21.0,Fresno State
400787107,2015,1,Hawai'i,Colorado,28.0,20.0,fbs,fbs,1347.0,1357.0,False,-8.0,Hawai'i
400763587,2015,1,Georgia State,Charlotte,20.0,23.0,fbs,fbs,1092.0,1500.0,False,3.0,Charlotte
400763470,2015,1,Western Michigan,Michigan State,24.0,37.0,fbs,fbs,1444.0,1850.0,False,13.0,Michigan State
400764855,2015,1,SMU,Baylor,21.0,56.0,fbs,fbs,1147.0,1874.0,False,35.0,Baylor
400799427,2015,1,Central Connecticut,Lehigh,14.0,20.0,fcs,fcs,,,False,6.0,Lehigh
400795631,2015,1,Delaware,Jacksonville,14.0,20.0,fcs,fcs,,,False,6.0,Jacksonville
400756903,2015,1,Syracuse,Rhode Island,47.0,0.0,fbs,fcs,,,False,-47.0,Syracuse
400760491,2015,1,Army,Fordham,35.0,37.0,fbs,fcs,,,False,2.0,Fordham
400756887,2015,1,Oregon State,Weber State,26.0,7.0,fbs,fcs,,,False,-19.0,Oregon State
400756888,2015,1,Boise State,Washington,16.0,13.0,fbs,fbs,1716.0,1625.0,False,-3.0,Boise State
400799832,2015,1,Duquesne,Kentucky Christian,47.0,7.0,fcs,,,,False,-40.0,Duquesne
400764860,2015,1,Navy,Colgate,48.0,10.0,fbs,fcs,,,False,-38.0,Navy
400763496,2015,1,Rutgers,Norfolk State,63.0,13.0,fbs,fcs,,,True,-50.0,Rutgers
400763494,2015,1,Maryland,Richmond,50.0,21.0,fbs,fcs,,,False,-29.0,Maryland
400763473,2015,1,Iowa,Illinois State,31.0,14.0,fbs,fcs,,,False,-17.0,Iowa
400603835,2015,1,Ole Miss,UT Martin,76.0,3.0,fbs,fcs,,,False,-73.0,Ole Miss
400763401,2015,1,Kansas,South Dakota State,38.0,41.0,fbs,fcs,,,False,3.0,South Dakota State
400799428,2015,1,St Francis (PA),Georgetown,48.0,20.0,fcs,fcs,,,False,-28.0,St Francis (PA)
400799833,2015,1,Robert Morris,Dayton,24.0,27.0,fcs,fcs,,,False,3.0,Dayton
400756891,2015,1,Northwestern,Stanford,16.0,6.0,fbs,fbs,1482.0,1747.0,False,-10.0,Northwestern
400603831,2015,1,Georgia,Louisiana Monroe,51.0,14.0,fbs,fbs,1856.0,1312.0,False,-37.0,Georgia
400756898,2015,1,Clemson,Wofford,49.0,10.0,fbs,fcs,,,False,-39.0,Clemson
400756897,2015,1,Boston College,Maine,24.0,3.0,fbs,fcs,,,False,-21.0,Boston College
400756902,2015,1,Pittsburgh,Youngstown State,45.0,37.0,fbs,fcs,,,False,-8.0,Pittsburgh
400795590,2015,1,Monmouth,Holy Cross,19.0,27.0,fcs,fcs,,,True,8.0,Holy Cross
400835430,2015,1,Illinois,Kent State,52.0,3.0,fbs,fbs,1406.0,1273.0,False,-49.0,Illinois
400756889,2015,1,Washington State,Portland State,17.0,24.0,fbs,fcs,,,False,7.0,Portland State
