,id,home_team,away_team,spread_prediction,spread,delta
57,401531872,Utah State,James Madison,19.092533111572266,4.5,14.592533111572266
59,401524018,Washington,California,-30.992246627807617,-19.5,11.492246627807617
32,401531423,South Florida,Rice,-8.14712142944336,3.0,11.14712142944336
30,401520269,Tennessee,UT San Antonio,-34.31126594543457,-24.0,10.31126594543457
39,401520262,Middle Tennessee,Colorado State,-13.457088470458984,-4.0,9.457088470458984
53,401521330,Notre Dame,Ohio State,-5.781642913818359,3.0,8.78164291381836
10,401520274,Vanderbilt,Kentucky,22.07387065887451,13.5,8.573870658874512
8,401525845,Cincinnati,Oklahoma,5.492068290710449,14.0,8.50793170928955
24,401520250,Alabama,Ole Miss,-15.292046546936035,-7.0,8.292046546936035
9,401520260,Michigan,Rutgers,-32.278428077697754,-24.0,8.278428077697754
34,401531876,South Alabama,Central Michigan,-24.01394748687744,-16.0,8.013947486877441
50,401520265,Penn State,Iowa,-21.55914878845215,-14.0,7.559148788452148
47,401531875,Louisiana,Buffalo,-3.5907373428344727,-10.5,6.909262657165527
1,401520266,Purdue,Wisconsin,12.513527393341064,6.0,6.5135273933410645
36,401520275,Florida International,Liberty,15.652256488800049,9.5,6.152256488800049
11,401525849,TCU,SMU,-13.033257007598875,-7.0,6.033257007598875
16,401531871,Ball State,Georgia Southern,0.4970655441284179,6.5,6.002934455871582
0,401531849,Coastal Carolina,Georgia State,-12.254167079925535,-6.5,5.754167079925535
12,401520270,Texas A&M,Auburn,-3.3471975326538086,-9.0,5.652802467346191
35,401525508,Wake Forest,Georgia Tech,-9.631391048431396,-4.0,5.6313910484313965
2,401525505,Virginia,NC State,2.442558765411377,8.0,5.557441234588623
25,401525506,Louisville,Boston College,-18.783891677856445,-13.5,5.283891677856445
44,401531874,Arkansas State,Southern Mississippi,1.2315969467163086,6.5,5.268403053283691
60,401532407,Fresno State,Kent State,-21.86240768432617,-27.0,5.137592315673832
52,401520256,Indiana,Akron,-21.585588932037357,-16.5,5.085588932037357
51,401520264,Northwestern,Minnesota,16.020630359649658,11.0,5.020630359649658
61,401524014,Arizona State,USC,29.571720123291016,34.5,4.928279876708984
20,401532405,Bowling Green,Ohio,17.864447116851807,13.0,4.864447116851807
13,401531338,Northern Illinois,Tulsa,0.8135261535644531,-4.0,4.813526153564453
33,401520257,Jacksonville State,Eastern Michigan,-1.72611665725708,-6.5,4.77388334274292
31,401525846,Iowa State,Oklahoma State,-8.203920841217041,-3.5,4.703920841217041
54,401520259,Missouri,Memphis,-11.673983097076416,-7.0,4.673983097076416
18,401525850,West Virginia,Texas Tech,0.9186234474182128,5.5,4.581376552581787
21,401520272,Connecticut,Duke,18.029030323028564,22.5,4.4709696769714355
7,401520268,Syracuse,Army,-16.657925367355347,-13.0,3.6579253673553467
40,401524016,Stanford,Arizona,16.63140344619751,13.0,3.6314034461975098
19,401525847,Kansas,BYU,-13.058228969573976,-9.5,3.5582289695739764
29,401520261,Michigan State,Maryland,11.02127480506897,7.5,3.5212748050689697
41,401520251,Florida,Charlotte,-24.04342031478882,-27.5,3.4565796852111816
3,401532584,San José State,Air Force,9.950470685958862,6.5,3.4504706859588623
62,401520253,Hawai'i,New Mexico State,0.3086342811584472,-3.0,3.3086342811584473
42,401524019,Washington State,Oregon State,0.3628215789794922,3.0,2.637178421020508
46,401520267,South Carolina,Mississippi State,-3.4170114994049072,-6.0,2.5829885005950928
23,401520255,Illinois,Florida Atlantic,-13.449551820755005,-16.0,2.550448179244995
56,401525510,Pittsburgh,North Carolina,9.58309531211853,7.5,2.0830953121185303
58,401520273,UTEP,UNLV,0.950493097305298,-1.0,1.9504930973052979
27,401524017,Utah,UCLA,-2.185023784637451,-4.0,1.8149762153625488
28,401524015,Oregon,Colorado,-23.29010963439941,-21.5,1.7901096343994105
22,401525509,Temple,Miami,21.232267022132877,23.0,1.767732977867123
6,401525511,Marshall,Virginia Tech,-7.707894563674927,-6.0,1.7078945636749268
17,401526835,UMass,New Mexico,-1.8767800331115725,-3.5,1.6232199668884275
4,401532583,San Diego State,Boise State,2.8802143335342407,4.5,1.6197856664657593
15,401532406,Toledo,Western Michigan,-19.898582696914676,-21.5,1.6014173030853236
26,401520263,Nebraska,Louisiana Tech,-19.08756685256958,-20.5,1.41243314743042
5,401525507,Clemson,Florida State,0.7929028272628784,2.0,1.2070971727371216
49,401520252,Georgia,UAB,-39.91756796836853,-41.0,1.0824320316314697
48,401525844,Baylor,Texas,17.950613617897034,17.0,0.9506136178970337
55,401525848,Kansas State,UCF,-5.939568400382996,-5.0,0.9395684003829956
45,401520254,Houston,Sam Houston State,-10.129553377628326,-11.0,0.8704466223716736
14,401520271,Troy,Western Kentucky,-2.8036463260650635,-3.5,0.6963536739349365
38,401531877,Texas State,Nevada,-17.663537979125977,-17.0,0.6635379791259766
37,401520258,LSU,Arkansas,-18.332366824150085,-18.0,0.33236682415008545
43,401531870,Wyoming,Appalachian State,-2.675129354000092,-2.5,0.175129354000092
